Test Name = Noise Test S/N: 2118112119H001003942

[IDENTIFICATION TEXT]
Date & Time	27/08/2021 - 17:06:51
Final Result	PASS
Version Number	 - 
Model Number	MX923001
Model Type	LIN
BarCode	2118112119H001003942
UTT Code	No UTT
UTT Description	No UTT
Software ID	MX923001_8600rpm_20_Bands_LIMITS_05_January.pro
TST folder	2118112119H001003942_TST_2021-08-27_17-06-51_
TDM folder	2118112119H001003942_TDM_2021-08-27_17-06-51_
[IDENTIFICATION TEXT END]

[IDENTIFICATION COLOR]
16448250	16448250
16448250	6618880
16448250	16448250
16448250	16448250
16448250	16448250
16448250	16448250
16448250	16448250
[IDENTIFICATION COLOR END]

[RESULTS TEXT]
ELECTRICAL SAFETY	 	 	 	 	 	 
Narrow Band REAR Z t3_t4_Band_8	3.564	m/s^2	83.180	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_9	3.321	m/s^2	93.174	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_10	2.921	m/s^2	45.740	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_11	2.189	m/s^2	58.691	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_12	0.748	m/s^2	46.615	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_13	2.422	m/s^2	44.666	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_14	0.827	m/s^2	49.046	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_15	0.933	m/s^2	29.376	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_16	1.332	m/s^2	47.870	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_17	0.892	m/s^2	66.754	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_18	1.038	m/s^2	83.076	0.000	0	Pass
Narrow Band REAR Z t3_t4_Band_19	0.670	m/s^2	49.072	0.000	0	Pass
(T4-T5) Rattle Detection	 	 	 	 	 	 
Test Summary						Pass
ACC_REAR X_Total_t4-t5	214.157	m/s^2	297.500	0.000	0	Pass
ACC_REAR Y_Total_t4-t5	211.339	m/s^2	336.616	0.000	0	Pass
ACC_REAR Z_Total_t4-t5	238.283	m/s^2	314.470	0.000	0	Pass
(T3-T5) Noise Analysis	 	 	 	 	 	 
Test Summary						Pass
MIC_Total t3_t4	53.444	dB	683.189	0.000	0	Pass
MIC_Octave Band 25Hz t3_t4	25.832	dB	286.501	0.000	0	Pass
MIC_Octave Band 32Hz t3_t4	28.456	dB	409.870	0.000	0	Pass
MIC_Octave Band 40Hz t3_t4	22.740	dB	264.294	0.000	0	Pass
